"CNTYBNA","FACTOR1","FACTOR2","FACTOR3","JA","CT89_91","POPU","HomiRate","LnHomiRate","xcoord","ycoord","poverty","public_assistance","female_headed","unemployment","new_residents","renter-occupied","no_high_school","crowded_households","black","latino"
"0310101",0.2396,0.313,-1.682,0.8942,4,5468,73.1528895391368,4.306129036659966,355179.13957394834,594685.6568316569,34.4042,20.4928,35.7143,10.4952,66.81,92.1963,28.6528,19.6702,50.7018,60.0593
"0310102",-0.4401,-0.3639,-1.4742,0.8909,7,8789,79.64501080896575,4.390056940400581,354303.80209582375,594087.1411073278,13.724,13.2774,16.7939,5.1061,67.33,83.2735,24.8366,10.1849,35.7368,46.0299
"0310103",-0.6375,-0.674,-1.4118,0.8942,8,6868,116.48223645894001,4.766287143082654,355468.52614663163,594111.468917512,10.256,6.9934,12.2222,4.2096,66.75,78.9055,19.9721,7.5954,24.6233,34.3965
"0310104",-0.7668,-1.1348,-1.9172,0.8705,1,6457,15.487068297971193,2.802576334105258,356000.0598776738,592929.2659146575,13.7566,2.9453,6.6313,3.0058,73.77,84.6321,11.2231,4.8324,13.1393,20.8113
"0310105",-0.4262,-0.5965,-1.7608,0.8217,6,9102,65.91957811470007,4.20349157177568,355472.88923738356,592830.5440899554,23.4028,11.831,14.6896,4.2327,67.94,89.9077,18.8862,8.8745,23.632,36.1806
"0310106",-0.5585,-0.0383,-1.7411,0.9193,8,6870,116.44832605531296,4.765998458600741,355125.06333073654,593025.4053593036,16.5692,10.1225,15.4583,6.8639,73.3,82.3709,21.41,16.4402,22.7652,55.6391
"0310107",-0.5493,0.1342,-1.5484999,0.9659,9,10181,88.39996071112857,4.493120242706538,354432.307086725,593324.50870267,18.4974,9.8413,17.2084,6.676,70.36,79.661,26.9463,15.0847,24.4127,64.4656
"0310108",-0.69,0.6588,-1.6046,0.9744,6,5066,118.43663639952625,4.782785991410466,354553.32487309846,592518.9577511487,16.895,6.7808,17.5345,5.1536,69.09,86.8351,32.8247,20.3457,22.1918,81.5981
"0310109",-0.402,-0.3473,-0.6519,0.9193,0,982,0,0,354985.67659788794,592403.496336953,16.2753,12.2267,21.7082,5.6645,51.2,70.4128,24.8021,5.5046,28.1781,52.0648
"0310201",-0.8768,-0.8385,-0.7514,0.9836,2,3174,63.0119722747322,4.159070132657551,353504.0890041771,594055.5971413865,7.4109,4.3411,6.5469,2.9921,55.83,63.4667,13.913,4.4,10.1395,32.31
